 summary,subscriptionId,calPath,guid,recurrenceId,link,eventlink,status,startallday,startshortdate,startlongdate,startdayname,starttime,startutcdate,startdatetime,starttimezone,endallday,endshortdate,endlongdate,enddayname,endtime,endutcdate,enddatetime,endtimezone,locationaddress,locationlink,contactname,contactphone,contactlink,calendarname,calendardisplayName,calendarpath,calendarencodedPath,categories,description,cost,xproperties 
 Anime Movie Thursdays,,%2Fpublic%2Fcals%2FMainCal,20160126-000084-BORDEAUX-201603031600%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000084-BORDEAUX-201603031600%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/3/2016,3-Mar-16,Thursday,4:00 PM,20160303T220000Z,20160303T160000,America/Chicago,FALSE,3/3/2016,3-Mar-16,Thursday,6:00 PM,20160304T000000Z,20160303T180000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bordeaux,Teens,Movies,Locations,Series",Come out and join us for screenings of some of your favorite anime and manga movies and TV shows!,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Movies "
 After-school Crafts and Movies,,%2Fpublic%2Fcals%2FMainCal,20160126-000060-BORDEAUX-201603031700%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000060-BORDEAUX-201603031700%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/3/2016,3-Mar-16,Thursday,5:00 PM,20160303T230000Z,20160303T170000,America/Chicago,FALSE,3/3/2016,3-Mar-16,Thursday,6:30 PM,20160304T003000Z,20160303T183000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Bordeaux,Children,Locations,Series",1st and 3rd Thursdays. Come join us for crafts and movies!,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Movies "
 Yoga,,%2Fpublic%2Fcals%2FMainCal,20160127-000112-BELLEVUE-201605191630%40LIBRARY.NASHVILLE.ORG,20160304T003000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000112-BELLEVUE-201605191630%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=20160304T003000Z,CONFIRMED,FALSE,3/3/2016,3-Mar-16,Thursday,6:30 PM,20160304T003000Z,20160303T183000,America/Chicago,FALSE,3/3/2016,3-Mar-16,Thursday,7:45 PM,20160304T014500Z,20160303T194500,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,Health and Wellness,location/East,Locations","Every Thursday, come practice yoga with us! Please bring a mat or towel.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Health and Wellness,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Preschool Story Time,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52cadd24-0152-cc08d5ab-00001746demobedework%40mysite.edu,20160307T160000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52cadd24-0152-cc08d5ab-00001746demobedework%40mysite.edu&amp;recurrenceId=20160307T160000Z,CONFIRMED,FALSE,3/7/2016,7-Mar-16,Monday,10:00 AM,20160307T160000Z,20160307T100000,America/Chicago,FALSE,3/7/2016,7-Mar-16,Monday,10:00 AM,20160307T160000Z,20160307T100000,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Children,Story Time,location/East,Locations","Every Tuesday. Join us for stories, songs and crafts.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Brose By Topic/Story Time,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Story Time,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_generic.jpg,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Dragon Ball Z: Xenoverse Tournament,,%2Fpublic%2Fcals%2FMainCal,20160210-000035-EAST-201603071500%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000035-EAST-201603071500%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/7/2016,7-Mar-16,Monday,3:00 PM,20160307T210000Z,20160307T150000,America/Chicago,FALSE,3/7/2016,7-Mar-16,Monday,3:00 PM,20160307T210000Z,20160307T150000,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Teens,location/East,Locations,Series","Every Monday in March, compete against your friends in a Single-Elimination Dragon Ball Z Fighting Tournament! Part of Animanga Month.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens "
 Perler Beads Crafting,,%2Fpublic%2Fcals%2FMainCal,20160126-000088-BORDEAUX-201603071600%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000088-BORDEAUX-201603071600%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/7/2016,7-Mar-16,Monday,4:00 PM,20160307T220000Z,20160307T160000,America/Chicago,FALSE,3/7/2016,7-Mar-16,Monday,5:00 PM,20160307T230000Z,20160307T170000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Bordeaux,Teens,Locations,Series","Come out and make your favorite character, costume, and more with Perler Beads!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts "
 Preschool Story Time,,%2Fpublic%2Fcals%2FMainCal,20160126-000003-BORDEAUX-201603081030%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000003-BORDEAUX-201603081030%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/8/2016,8-Mar-16,Tuesday,10:30 AM,20160308T163000Z,20160308T103000,America/Chicago,FALSE,3/8/2016,8-Mar-16,Tuesday,11:00 AM,20160308T170000Z,20160308T110000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bordeaux,Children,Story Time,Locations,Series","Every Tuesday. Join us for stories, songs and crafts. ",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Brose By Topic/Story Time,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_generic.jpg "
 Kabuki Mask Design,,%2Fpublic%2Fcals%2FMainCal,20160210-000041-EAST-201603081500%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000041-EAST-201603081500%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/8/2016,8-Mar-16,Tuesday,3:00 PM,20160308T210000Z,20160308T150000,America/Chicago,FALSE,3/8/2016,8-Mar-16,Tuesday,3:00 PM,20160308T210000Z,20160308T150000,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,Teens,location/East,Locations,Series",Masks were used in Kabuki Theater to show character and emotion. Express yourself by creating your own mask in this workshop.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts "
 Teen Time: Hangout,,%2Fpublic%2Fcals%2FMainCal,20160126-000017-BORDEAUX-201603081600%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000017-BORDEAUX-201603081600%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/8/2016,8-Mar-16,Tuesday,4:00 PM,20160308T220000Z,20160308T160000,America/Chicago,FALSE,3/8/2016,8-Mar-16,Tuesday,5:30 PM,20160308T233000Z,20160308T173000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bordeaux,Teens,Locations,Series","Every Tuesday. Have some fun playing video games, drawing, and just hanging out with friends!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens "
 Twilight Story Hour,,%2Fpublic%2Fcals%2FMainCal,20160126-000031-BORDEAUX-201603081800%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000031-BORDEAUX-201603081800%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/8/2016,8-Mar-16,Tuesday,6:00 PM,20160309T000000Z,20160308T180000,America/Chicago,FALSE,3/8/2016,8-Mar-16,Tuesday,6:30 PM,20160309T003000Z,20160308T183000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bordeaux,Children,Story Time,Locations,Series",Every Tuesday. Join us for a fun family evening filled with stories and crafts.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Brose By Topic/Story Time,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_generic.jpg "
 Getting Started with Computers,,%2Fpublic%2Fcals%2FMainCal,20160128-000010-BORDEAUX-201603091000%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160128-000010-BORDEAUX-201603091000%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/9/2016,9-Mar-16,Wednesday,10:00 AM,20160309T160000Z,20160309T100000,America/Chicago,FALSE,3/9/2016,9-Mar-16,Wednesday,12:00 PM,20160309T180000Z,20160309T120000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Bordeaux,Computers and Technology,Locations,Series","Come to class to get started with computers! This class covers introductory computer vocabulary, computer mouse skills, and basic keyboarding. No computer skills required!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Computers and Technology "
 Getting Started with Internet ,,%2Fpublic%2Fcals%2FMainCal,20160128-000011-BORDEAUX-201603091400%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160128-000011-BORDEAUX-201603091400%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/9/2016,9-Mar-16,Wednesday,2:00 PM,20160309T200000Z,20160309T140000,America/Chicago,FALSE,3/9/2016,9-Mar-16,Wednesday,4:00 PM,20160309T220000Z,20160309T160000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Bordeaux,Computers and Technology,Locations,Series",Learn how to access unlimited information using the Internet.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Computers and Technology "
 Cypher,,%2Fpublic%2Fcals%2FMainCal,20160210-000012-EAST-201603091530%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000012-EAST-201603091530%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/9/2016,9-Mar-16,Wednesday,3:30 PM,20160309T213000Z,20160309T153000,America/Chicago,FALSE,3/9/2016,9-Mar-16,Wednesday,5:00 PM,20160309T230000Z,20160309T170000,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"series/Studio NPL,Teens,location/East,Locations,Series","Every Wednesday, emcees, poets, DJ&rsquo;s, rappers, spoken word artists, and producers develop their work, share pieces, and collaborate on projects. Participating artists will have access to larger events and performance opportunities executed by Studio NPL and Southern Word.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Studio NPL,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_290x290.jpg "
 Teen Time: In it to Win It Wednesdays,,%2Fpublic%2Fcals%2FMainCal,20160126-000045-BORDEAUX-201603091600%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000045-BORDEAUX-201603091600%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/9/2016,9-Mar-16,Wednesday,4:00 PM,20160309T220000Z,20160309T160000,America/Chicago,FALSE,3/9/2016,9-Mar-16,Wednesday,5:30 PM,20160309T233000Z,20160309T173000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bordeaux,Teens,Locations,Series",Every Wednesday. Join us to play a variety of board games and card games!,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens "
 CLOSED: All Libraries Closed for Staff Training,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-518b91e8-0151-8d3ff473-000043f5demobedework%40mysite.edu,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-518b91e8-0151-8d3ff473-000043f5demobedework%40mysite.edu&amp;recurrenceId=,CONFIRMED,TRUE,3/10/2016,10-Mar-16,Thursday,12:00 AM,20160310T060000Z,20160310,,TRUE,3/10/2016,10-Mar-16,Thursday,12:00 AM,20160310T060000Z,20160310,,All Libraries,,Main Library,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/North,location/Bellevue,location/Bordeaux,location/Donelson,location/Edmondson Pike,location/Goodlettsville,location/Green Hills,location/Hadley Park,location/Hermitage,location/Inglewood,location/Madison,location/Pruitt,location/Richland Park,location/Southeast,location/Thompson Lane,location/Edgehill,series/Closed,location/Looby,location/East,location/Old Hickory,location/Watkins Park,Locations,location/Main Library,Series","All Library locations closed for Staff Training today. Libraries with regular Friday hours re-open on Friday, March 11.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Featured,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Donelson,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Edgehill,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Edmondson Pike,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Goodlettsville,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Hadley Park,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Hermitage,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Inglewood,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Looby,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/MAIN,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Madison,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Metro Archives,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/North,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Old Hickory,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Pruitt,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Richland Park,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Southeast,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Thompson Lane,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Watkins Park,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Community Cinema,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Closed,X-BEDEWORK-SUBMITTEDBY : values : text : alprice for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Preschool Story Time,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52cadd24-0152-cc08d5ab-00001746demobedework%40mysite.edu,20160314T150000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52cadd24-0152-cc08d5ab-00001746demobedework%40mysite.edu&amp;recurrenceId=20160314T150000Z,CONFIRMED,FALSE,3/14/2016,14-Mar-16,Monday,10:00 AM,20160314T150000Z,20160314T100000,America/Chicago,FALSE,3/14/2016,14-Mar-16,Monday,10:00 AM,20160314T150000Z,20160314T100000,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Children,Story Time,location/East,Locations","Every Tuesday. Join us for stories, songs and crafts.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Brose By Topic/Story Time,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Story Time,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_generic.jpg,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Dragon Ball Z: Xenoverse Tournament,,%2Fpublic%2Fcals%2FMainCal,20160210-000036-EAST-201603141500%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000036-EAST-201603141500%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/14/2016,14-Mar-16,Monday,3:00 PM,20160314T200000Z,20160314T150000,America/Chicago,FALSE,3/14/2016,14-Mar-16,Monday,3:00 PM,20160314T200000Z,20160314T150000,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Teens,location/East,Locations,Series","Every Monday in March, compete against your friends in a Single-Elimination Dragon Ball Z Fighting Tournament! Part of Animanga Month.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens "
 Candy Sushi Making,,%2Fpublic%2Fcals%2FMainCal,20160126-000089-BORDEAUX-201603071600%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000089-BORDEAUX-201603071600%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/14/2016,14-Mar-16,Monday,4:00 PM,20160314T210000Z,20160314T160000,America/Chicago,FALSE,3/14/2016,14-Mar-16,Monday,5:00 PM,20160314T220000Z,20160314T170000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Bordeaux,Teens,series/Manga and Anime Month,Locations,Series",Come out and make delicious candy sushi for you to eat!,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts "
 Preschool Story Time,,%2Fpublic%2Fcals%2FMainCal,20160126-000004-BORDEAUX-201603151030%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160126-000004-BORDEAUX-201603151030%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/15/2016,15-Mar-16,Tuesday,10:30 AM,20160315T153000Z,20160315T103000,America/Chicago,FALSE,3/15/2016,15-Mar-16,Tuesday,11:00 AM,20160315T160000Z,20160315T110000,America/Chicago,Bordeaux,http://www.library.nashville.org/locations/loc_bordeaux.asp,Bordeaux,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bordeaux,Children,Story Time,Locations,Series","Every Tuesday. Join us for stories, songs and crafts. ",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bordeaux,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Brose By Topic/Story Time,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_generic.jpg "
 Candy Sushi Making,,%2Fpublic%2Fcals%2FMainCal,20160210-000043-EAST-201603151500%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000043-EAST-201603151500%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/15/2016,15-Mar-16,Tuesday,3:00 PM,20160315T200000Z,20160315T150000,America/Chicago,FALSE,3/15/2016,15-Mar-16,Tuesday,3:00 PM,20160315T200000Z,20160315T150000,America/Chicago,East,,East,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,Teens,location/East,Locations,Series","A tasty twist on a traditional delicacy, Candy Sushi is a delicious treat for all to enjoy!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/East,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts "
